Name,PetID,Age,age_group,gender_label,breed1_label,breed2_label,clip_breed_1,clip_breed_1_score,clip_breed_2,clip_breed_2_score,maturity_size_label,breed_score,breed_explanation,structured_score,bert_similarity,clip_image_text_similarity,final_score,clip_num_images_used_for_similarity
Keeva,9123c847a,4,puppy,female,Mixed Breed,,Black Labrador Retriever,0.0056268176995217,Australian Kelpie,0.0056231068447232,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8305356,0.6364905834197998,0.8031074851751328,1
Balloon,485cff597,2,puppy,female,Mixed Breed,,Australian Cattle Dog/Blue Heeler,0.0056798276491463,Australian Kelpie,0.0056747426278889,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.812749,0.6445021033287048,0.7998625725507736,8
BAMBI,b7da4e981,4,puppy,female,Mixed Breed,,Dutch Shepherd,0.0056555313058197,Australian Kelpie,0.0056427111849188,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.80228806,0.6409339606761932,0.7967121079564095,5
Blackie,1f58a286e,1,puppy,female,Mixed Breed,Rottweiler,Manchester Terrier,0.0057462425902485,Dutch Shepherd,0.0057162879966199,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.7963071,0.6450834572315216,0.7958392903208733,1
Female No 4,8f9010452,2,puppy,female,Mixed Breed,,Dachshund,0.005747880320996,Chesapeake Bay Retriever,0.0057290522381663,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.7859673,0.632108524441719,0.7913081012666225,1
H1,a13ed5e9d,1,puppy,female,Mixed Breed,Mixed Breed,Rottweiler,0.0057115531526505,Miniature Pinscher,0.0056969840079545,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.7524233,0.6352949887514114,0.7834000699222088,1
H2,c12883eaa,1,puppy,female,Mixed Breed,Mixed Breed,Kai Dog,0.0056371884420514,Finnish Spitz,0.0056175650097429,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.7524233,0.6180305853486061,0.780810409411788,1
San San çç,4a1702099,6,puppy,female,Mixed Breed,German Shepherd Dog,Schipperke,0.0057955677621066,Akbash,0.0056244586594402,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.7269719,0.6320532709360123,0.7765509717166423,3
Little Blackie,9d1b799e7,2,puppy,female,Mixed Breed,Mixed Breed,Italian Greyhound,0.0057105645537376,Akbash,0.0056704594753682,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.7163854,0.6360515803098679,0.7745040930807591,6
Baby Dog,d1a577692,12,young,female,Mixed Breed,,Manchester Terrier,0.0058092940598726,Miniature Pinscher,0.0057483236305415,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.645743,0.6519073694944382,0.7592218585312367,4
